cell,r_center_cm,phi_0
336,6.73000000e+00,3.48682593e+00
337,6.75000000e+00,3.48907612e+00
338,6.77000000e+00,3.49133389e+00
339,6.79000000e+00,3.49359924e+00
340,6.81000000e+00,3.49587218e+00
341,6.83000000e+00,3.49815272e+00
342,6.85000000e+00,3.50044087e+00
343,6.87000000e+00,3.50273663e+00
344,6.89000000e+00,3.50504001e+00
345,6.91000000e+00,3.50735103e+00
346,6.93000000e+00,3.50966969e+00
347,6.95000000e+00,3.51199600e+00
348,6.97000000e+00,3.51432996e+00
349,6.99000000e+00,3.51667159e+00
350,7.01000000e+00,3.51902090e+00
351,7.03000000e+00,3.52137789e+00
352,7.05000000e+00,3.52374257e+00
353,7.07000000e+00,3.52611495e+00
354,7.09000000e+00,3.52849504e+00
355,7.11000000e+00,3.53088285e+00
356,7.13000000e+00,3.53327838e+00
357,7.15000000e+00,3.53568165e+00
358,7.17000000e+00,3.53809266e+00
359,7.19000000e+00,3.54051143e+00
360,7.21000000e+00,3.54293796e+00
361,7.23000000e+00,3.54537226e+00
362,7.25000000e+00,3.54781433e+00
363,7.27000000e+00,3.55026420e+00
364,7.29000000e+00,3.55272187e+00
365,7.31000000e+00,3.55518733e+00
366,7.33000000e+00,3.55766062e+00
367,7.35000000e+00,3.56014173e+00
368,7.37000000e+00,3.56263067e+00
369,7.39000000e+00,3.56512746e+00
370,7.41000000e+00,3.56763209e+00
371,7.43000000e+00,3.57014459e+00
372,7.45000000e+00,3.57266496e+00
373,7.47000000e+00,3.57519321e+00
374,7.49000000e+00,3.57772934e+00
375,7.51000000e+00,3.58027337e+00
376,7.53000000e+00,3.58282531e+00
377,7.55000000e+00,3.58538517e+00
378,7.57000000e+00,3.58795295e+00
379,7.59000000e+00,3.59052866e+00
380,7.61000000e+00,3.59311232e+00
381,7.63000000e+00,3.59570394e+00
382,7.65000000e+00,3.59830352e+00
383,7.67000000e+00,3.60091107e+00
384,7.69000000e+00,3.60352660e+00
385,7.71000000e+00,3.60615013e+00
386,7.73000000e+00,3.60878165e+00
387,7.75000000e+00,3.61142119e+00
388,7.77000000e+00,3.61406875e+00
389,7.79000000e+00,3.61672434e+00
390,7.81000000e+00,3.61938797e+00
391,7.83000000e+00,3.62205965e+00
392,7.85000000e+00,3.62473939e+00
393,7.87000000e+00,3.62742720e+00
394,7.89000000e+00,3.63012309e+00
395,7.91000000e+00,3.63282707e+00
396,7.93000000e+00,3.63553915e+00
397,7.95000000e+00,3.63825934e+00
398,7.97000000e+00,3.64098765e+00
399,7.99000000e+00,3.64372408e+00
400,8.01000000e+00,3.64646866e+00
401,8.03000000e+00,3.64922139e+00
402,8.05000000e+00,3.65198228e+00
403,8.07000000e+00,3.65475134e+00
404,8.09000000e+00,3.65752857e+00
405,8.11000000e+00,3.66031400e+00
406,8.13000000e+00,3.66310763e+00
407,8.15000000e+00,3.66590947e+00
408,8.17000000e+00,3.66871954e+00
409,8.19000000e+00,3.67153783e+00
410,8.21000000e+00,3.67436437e+00
411,8.23000000e+00,3.67719916e+00
412,8.25000000e+00,3.68004221e+00
413,8.27000000e+00,3.68289354e+00
414,8.29000000e+00,3.68575315e+00
415,8.31000000e+00,3.68862105e+00
416,8.33000000e+00,3.69149726e+00
417,8.35000000e+00,3.69438179e+00
418,8.37000000e+00,3.69727464e+00
419,8.39000000e+00,3.70017583e+00
420,8.41000000e+00,3.70308537e+00
421,8.43000000e+00,3.70600327e+00
422,8.45000000e+00,3.70892953e+00
423,8.47000000e+00,3.71186418e+00
424,8.49000000e+00,3.71480721e+00
425,8.51000000e+00,3.71775864e+00
426,8.53000000e+00,3.72071849e+00
427,8.55000000e+00,3.72368675e+00
428,8.57000000e+00,3.72666345e+00
429,8.59000000e+00,3.72964859e+00
430,8.61000000e+00,3.73264219e+00
